Page,specific_name,name_fixed,lang_domain,access_type,access_origin,language,domain
ニューダンガンロンパV3_みんなのコロシアイ新学期_ja.wikipedia.org_desktop_all-agents,ニューダンガンロンパV3_みんなのコロシアイ新学期,ニューダンガンロンパV3_みんなのコロシアイ新学期,ja.wikipedia.org,desktop,all-agents,ja,wikipedia.org
Marcos_Pérez_Jiménez_es.wikipedia.org_desktop_all-agents,Marcos_Pérez_Jiménez,Marcos_Pérez_Jiménez,es.wikipedia.org,desktop,all-agents,es,wikipedia.org
Wild_Weasel_en.wikipedia.org_all-access_all-agents,Wild_Weasel,Wild_Weasel,en.wikipedia.org,all-access,all-agents,en,wikipedia.org
Percy_Jackson_–_Diebe_im_Olymp_(Film)_de.wikipedia.org_mobile-web_all-agents,Percy_Jackson_–_Diebe_im_Olymp_(Film),Percy_Jackson_–_Diebe_im_Olymp_(Film),de.wikipedia.org,mobile-web,all-agents,de,wikipedia.org
Germany_national_football_team_en.wikipedia.org_all-access_all-agents,Germany_national_football_team,Germany_national_football_team,en.wikipedia.org,all-access,all-agents,en,wikipedia.org
Hallelujah_(Leonard_Cohen_song)_en.wikipedia.org_all-access_all-agents,Hallelujah_(Leonard_Cohen_song),Hallelujah_(Leonard_Cohen_song),en.wikipedia.org,all-access,all-agents,en,wikipedia.org
Knowing_Bros_en.wikipedia.org_desktop_all-agents,Knowing_Bros,Knowing_Bros,en.wikipedia.org,desktop,all-agents,en,wikipedia.org
Miguel_Ángel_Revilla_es.wikipedia.org_all-access_spider,Miguel_Ángel_Revilla,Miguel_Ángel_Revilla,es.wikipedia.org,all-access,spider,es,wikipedia.org
石井ふく子_ja.wikipedia.org_all-access_all-agents,石井ふく子,石井ふく子,ja.wikipedia.org,all-access,all-agents,ja,wikipedia.org
Révolution_française_fr.wikipedia.org_all-access_all-agents,Révolution_française,Révolution_française,fr.wikipedia.org,all-access,all-agents,fr,wikipedia.org
Tilda_Swinton_en.wikipedia.org_all-access_all-agents,Tilda_Swinton,Tilda_Swinton,en.wikipedia.org,all-access,all-agents,en,wikipedia.org
牧野結美_ja.wikipedia.org_all-access_spider,牧野結美,牧野結美,ja.wikipedia.org,all-access,spider,ja,wikipedia.org
郭敬明_zh.wikipedia.org_all-access_all-agents,郭敬明,郭敬明,zh.wikipedia.org,all-access,all-agents,zh,wikipedia.org
Kriegsgefangenenlager_Büblingshausen_de.wikipedia.org_desktop_all-agents,Kriegsgefangenenlager_Büblingshausen,Kriegsgefangenenlager_Büblingshausen,de.wikipedia.org,desktop,all-agents,de,wikipedia.org
Metal_es.wikipedia.org_all-access_spider,Metal,Metal,es.wikipedia.org,all-access,spider,es,wikipedia.org
File:Dotxxx.png_commons.wikimedia.org_all-access_spider,File:Dotxxx.png,File:Dotxxx.png,commons.wikimedia.org,all-access,spider,commons,wikimedia.org
Neuzeit_de.wikipedia.org_mobile-web_all-agents,Neuzeit,Neuzeit,de.wikipedia.org,mobile-web,all-agents,de,wikipedia.org
Donald_Trump_de.wikipedia.org_all-access_spider,Donald_Trump,Donald_Trump,de.wikipedia.org,all-access,spider,de,wikipedia.org
Emre_Can_de.wikipedia.org_desktop_all-agents,Emre_Can,Emre_Can,de.wikipedia.org,desktop,all-agents,de,wikipedia.org
Unister_de.wikipedia.org_all-access_spider,Unister,Unister,de.wikipedia.org,all-access,spider,de,wikipedia.org
Boris_Becker_fr.wikipedia.org_mobile-web_all-agents,Boris_Becker,Boris_Becker,fr.wikipedia.org,mobile-web,all-agents,fr,wikipedia.org
The_Witch_(2015_film)_en.wikipedia.org_desktop_all-agents,The_Witch_(2015_film),The_Witch_(2015_film),en.wikipedia.org,desktop,all-agents,en,wikipedia.org
25._Februar_de.wikipedia.org_desktop_all-agents,25._Februar,25._Februar,de.wikipedia.org,desktop,all-agents,de,wikipedia.org
File:Wiki-analoral.png_commons.wikimedia.org_all-access_spider,File:Wiki-analoral.png,File:Wiki-analoral.png,commons.wikimedia.org,all-access,spider,commons,wikimedia.org
Snapchat_es.wikipedia.org_all-access_all-agents,Snapchat,Snapchat,es.wikipedia.org,all-access,all-agents,es,wikipedia.org
District_and_Circle_en.wikipedia.org_all-access_all-agents,District_and_Circle,District_and_Circle,en.wikipedia.org,all-access,all-agents,en,wikipedia.org
État_islamique_(organisation)_fr.wikipedia.org_all-access_all-agents,État_islamique_(organisation),État_islamique_(organisation),fr.wikipedia.org,all-access,all-agents,fr,wikipedia.org
День_отца_ru.wikipedia.org_mobile-web_all-agents,День_отца,День_отца,ru.wikipedia.org,mobile-web,all-agents,ru,wikipedia.org
Lupinen_de.wikipedia.org_mobile-web_all-agents,Lupinen,Lupinen,de.wikipedia.org,mobile-web,all-agents,de,wikipedia.org
Julio_Verne_es.wikipedia.org_all-access_spider,Julio_Verne,Julio_Verne,es.wikipedia.org,all-access,spider,es,wikipedia.org
Macaron_de.wikipedia.org_desktop_all-agents,Macaron,Macaron,de.wikipedia.org,desktop,all-agents,de,wikipedia.org
Instagram_en.wikipedia.org_all-access_spider,Instagram,Instagram,en.wikipedia.org,all-access,spider,en,wikipedia.org
Re:從零開始的異世界生活_zh.wikipedia.org_all-access_spider,Re:從零開始的異世界生活,Re:從零開始的異世界生活,zh.wikipedia.org,all-access,spider,zh,wikipedia.org
"Мамун,_Маргарита_ru.wikipedia.org_all-access_spider","Мамун,_Маргарита","Мамун,_Маргарита",ru.wikipedia.org,all-access,spider,ru,wikipedia.org
Jason_Bourne_(film)_fr.wikipedia.org_desktop_all-agents,Jason_Bourne_(film),Jason_Bourne_(film),fr.wikipedia.org,desktop,all-agents,fr,wikipedia.org
Волынская_резня_ru.wikipedia.org_mobile-web_all-agents,Волынская_резня,Волынская_резня,ru.wikipedia.org,mobile-web,all-agents,ru,wikipedia.org
"О’Брайен,_Дилан_ru.wikipedia.org_all-access_all-agents","О’Брайен,_Дилан","О'Брайен,_Дилан",ru.wikipedia.org,all-access,all-agents,ru,wikipedia.org
Category:Clitoral_fingering_commons.wikimedia.org_desktop_all-agents,Category:Clitoral_fingering,Category:Clitoral_fingering,commons.wikimedia.org,desktop,all-agents,commons,wikimedia.org
Dwight_D._Eisenhower_en.wikipedia.org_desktop_all-agents,Dwight_D._Eisenhower,Dwight_D._Eisenhower,en.wikipedia.org,desktop,all-agents,en,wikipedia.org
Vijay_Mallya_en.wikipedia.org_desktop_all-agents,Vijay_Mallya,Vijay_Mallya,en.wikipedia.org,desktop,all-agents,en,wikipedia.org
Special:MyLanguage/MediaWiki_1.28_www.mediawiki.org_all-access_all-agents,Special:MyLanguage/MediaWiki_1.28,Special:MyLanguage/MediaWiki_1.28,www.mediawiki.org,all-access,all-agents,www,mediawiki.org
"Julio_Iglesias,_Jr._es.wikipedia.org_mobile-web_all-agents","Julio_Iglesias,_Jr.","Julio_Iglesias,_Jr.",es.wikipedia.org,mobile-web,all-agents,es,wikipedia.org
安格拉·默克爾_zh.wikipedia.org_all-access_all-agents,安格拉·默克爾,安格拉·默克爾,zh.wikipedia.org,all-access,all-agents,zh,wikipedia.org
Список_персонажей_Marvel_Comics_ru.wikipedia.org_mobile-web_all-agents,Список_персонажей_Marvel_Comics,Список_персонажей_Marvel_Comics,ru.wikipedia.org,mobile-web,all-agents,ru,wikipedia.org
大中華地區_zh.wikipedia.org_all-access_all-agents,大中華地區,大中華地區,zh.wikipedia.org,all-access,all-agents,zh,wikipedia.org
三原舞依_ja.wikipedia.org_all-access_spider,三原舞依,三原舞依,ja.wikipedia.org,all-access,spider,ja,wikipedia.org
Республика_Кипр_ru.wikipedia.org_desktop_all-agents,Республика_Кипр,Республика_Кипр,ru.wikipedia.org,desktop,all-agents,ru,wikipedia.org
List_of_The_Flash_episodes_en.wikipedia.org_all-access_all-agents,List_of_The_Flash_episodes,List_of_The_Flash_episodes,en.wikipedia.org,all-access,all-agents,en,wikipedia.org
神奇寶貝列表_(102–151)_zh.wikipedia.org_all-access_spider,神奇寶貝列表_(102–151),神奇寶貝列表_(102–151),zh.wikipedia.org,all-access,spider,zh,wikipedia.org
大愛電視劇_zh.wikipedia.org_mobile-web_all-agents,大愛電視劇,大愛電視劇,zh.wikipedia.org,mobile-web,all-agents,zh,wikipedia.org
File:Folk_religious_sects'_influence_by_province_of_China_(alternate).png_commons.wikimedia.org_mobile-web_all-agents,File:Folk_religious_sects'_influence_by_province_of_China_(alternate).png,File:Folk_religious_sects'_influence_by_province_of_China_(alternate).png,commons.wikimedia.org,mobile-web,all-agents,commons,wikimedia.org
How_to_contribute/ko_www.mediawiki.org_mobile-web_all-agents,How_to_contribute/ko,How_to_contribute/ko,www.mediawiki.org,mobile-web,all-agents,www,mediawiki.org
File:Kisenosato_08_Sep_cropped.jpg_commons.wikimedia.org_mobile-web_all-agents,File:Kisenosato_08_Sep_cropped.jpg,File:Kisenosato_08_Sep_cropped.jpg,commons.wikimedia.org,mobile-web,all-agents,commons,wikimedia.org
大韩民国_zh.wikipedia.org_all-access_spider,大韩民国,大韩民国,zh.wikipedia.org,all-access,spider,zh,wikipedia.org
Sheila_E._en.wikipedia.org_all-access_all-agents,Sheila_E.,Sheila_E.,en.wikipedia.org,all-access,all-agents,en,wikipedia.org
感恩节_zh.wikipedia.org_mobile-web_all-agents,感恩节,感恩节,zh.wikipedia.org,mobile-web,all-agents,zh,wikipedia.org
日本女子大学_ja.wikipedia.org_all-access_spider,日本女子大学,日本女子大学,ja.wikipedia.org,all-access,spider,ja,wikipedia.org
Canelo_Álvarez_en.wikipedia.org_all-access_all-agents,Canelo_Álvarez,Canelo_Álvarez,en.wikipedia.org,all-access,all-agents,en,wikipedia.org
Guns_N'_Roses_en.wikipedia.org_all-access_spider,Guns_N'_Roses,Guns_N'_Roses,en.wikipedia.org,all-access,spider,en,wikipedia.org
File:Puerta_de_la_Luna_-_Tiahuanaco_(Bolivia).jpg_commons.wikimedia.org_desktop_all-agents,File:Puerta_de_la_Luna_-_Tiahuanaco_(Bolivia).jpg,File:Puerta_de_la_Luna_-_Tiahuanaco_(Bolivia).jpg,commons.wikimedia.org,desktop,all-agents,commons,wikimedia.org
Saison_2_de_Scorpion_fr.wikipedia.org_desktop_all-agents,Saison_2_de_Scorpion,Saison_2_de_Scorpion,fr.wikipedia.org,desktop,all-agents,fr,wikipedia.org
"Mainz_bleibt_Mainz,_wie_es_singt_und_lacht_de.wikipedia.org_mobile-web_all-agents","Mainz_bleibt_Mainz,_wie_es_singt_und_lacht","Mainz_bleibt_Mainz,_wie_es_singt_und_lacht",de.wikipedia.org,mobile-web,all-agents,de,wikipedia.org
曾母暗沙_zh.wikipedia.org_desktop_all-agents,曾母暗沙,曾母暗沙,zh.wikipedia.org,desktop,all-agents,zh,wikipedia.org
Suelo_es.wikipedia.org_mobile-web_all-agents,Suelo,Suelo,es.wikipedia.org,mobile-web,all-agents,es,wikipedia.org
Food_Glorious_Food_(TV_series)_en.wikipedia.org_all-access_all-agents,Food_Glorious_Food_(TV_series),Food_Glorious_Food_(TV_series),en.wikipedia.org,all-access,all-agents,en,wikipedia.org
中山美穂_ja.wikipedia.org_mobile-web_all-agents,中山美穂,中山美穂,ja.wikipedia.org,mobile-web,all-agents,ja,wikipedia.org
Éxodo_rural_es.wikipedia.org_desktop_all-agents,Éxodo_rural,Éxodo_rural,es.wikipedia.org,desktop,all-agents,es,wikipedia.org
J._J._Abrams_en.wikipedia.org_mobile-web_all-agents,J._J._Abrams,J._J._Abrams,en.wikipedia.org,mobile-web,all-agents,en,wikipedia.org
Julfest_de.wikipedia.org_mobile-web_all-agents,Julfest,Julfest,de.wikipedia.org,mobile-web,all-agents,de,wikipedia.org
GANTZ_ja.wikipedia.org_desktop_all-agents,GANTZ,GANTZ,ja.wikipedia.org,desktop,all-agents,ja,wikipedia.org
Janet_Reno_en.wikipedia.org_all-access_all-agents,Janet_Reno,Janet_Reno,en.wikipedia.org,all-access,all-agents,en,wikipedia.org
Voie_lactée_fr.wikipedia.org_all-access_spider,Voie_lactée,Voie_lactée,fr.wikipedia.org,all-access,spider,fr,wikipedia.org
Justice_League_(2017_film)_en.wikipedia.org_all-access_all-agents,Justice_League_(2017_film),Justice_League_(2017_film),en.wikipedia.org,all-access,all-agents,en,wikipedia.org
Alpha_Draconis_fr.wikipedia.org_desktop_all-agents,Alpha_Draconis,Alpha_Draconis,fr.wikipedia.org,desktop,all-agents,fr,wikipedia.org
Serge_Avédikian_fr.wikipedia.org_desktop_all-agents,Serge_Avédikian,Serge_Avédikian,fr.wikipedia.org,desktop,all-agents,fr,wikipedia.org
"Ковальчук,_Анна_Леонидовна_ru.wikipedia.org_all-access_spider","Ковальчук,_Анна_Леонидовна","Ковальчук,_Анна_Леонидовна",ru.wikipedia.org,all-access,spider,ru,wikipedia.org
Волга_ru.wikipedia.org_mobile-web_all-agents,Волга,Волга,ru.wikipedia.org,mobile-web,all-agents,ru,wikipedia.org
Michael_Bivins_en.wikipedia.org_mobile-web_all-agents,Michael_Bivins,Michael_Bivins,en.wikipedia.org,mobile-web,all-agents,en,wikipedia.org
Fargo_(Fernsehserie)_de.wikipedia.org_mobile-web_all-agents,Fargo_(Fernsehserie),Fargo_(Fernsehserie),de.wikipedia.org,mobile-web,all-agents,de,wikipedia.org
Category:Videos_of_penile_erection_commons.wikimedia.org_mobile-web_all-agents,Category:Videos_of_penile_erection,Category:Videos_of_penile_erection,commons.wikimedia.org,mobile-web,all-agents,commons,wikimedia.org
立石晴香_ja.wikipedia.org_all-access_all-agents,立石晴香,立石晴香,ja.wikipedia.org,all-access,all-agents,ja,wikipedia.org
Selección_de_fútbol_de_Perú_es.wikipedia.org_mobile-web_all-agents,Selección_de_fútbol_de_Perú,Selección_de_fútbol_de_Perú,es.wikipedia.org,mobile-web,all-agents,es,wikipedia.org
約會大作戰_zh.wikipedia.org_mobile-web_all-agents,約會大作戰,約會大作戰,zh.wikipedia.org,mobile-web,all-agents,zh,wikipedia.org
Benoîte_Groult_fr.wikipedia.org_all-access_all-agents,Benoîte_Groult,Benoîte_Groult,fr.wikipedia.org,all-access,all-agents,fr,wikipedia.org
Nikolaus_von_Myra_de.wikipedia.org_all-access_spider,Nikolaus_von_Myra,Nikolaus_von_Myra,de.wikipedia.org,all-access,spider,de,wikipedia.org
羽賀龍之介_ja.wikipedia.org_all-access_all-agents,羽賀龍之介,羽賀龍之介,ja.wikipedia.org,all-access,all-agents,ja,wikipedia.org
Тарзан._Легенда_ru.wikipedia.org_mobile-web_all-agents,Тарзан._Легенда,Тарзан._Легенда,ru.wikipedia.org,mobile-web,all-agents,ru,wikipedia.org
リーガル・ハイ_ja.wikipedia.org_desktop_all-agents,リーガル・ハイ,リーガル・ハイ,ja.wikipedia.org,desktop,all-agents,ja,wikipedia.org
Trans-Pacific_Partnership_en.wikipedia.org_all-access_all-agents,Trans-Pacific_Partnership,Trans-Pacific_Partnership,en.wikipedia.org,all-access,all-agents,en,wikipedia.org
Gerda_Daumerlang_de.wikipedia.org_desktop_all-agents,Gerda_Daumerlang,Gerda_Daumerlang,de.wikipedia.org,desktop,all-agents,de,wikipedia.org
Одесса_ru.wikipedia.org_mobile-web_all-agents,Одесса,Одесса,ru.wikipedia.org,mobile-web,all-agents,ru,wikipedia.org
小魔女學園_zh.wikipedia.org_desktop_all-agents,小魔女學園,小魔女學園,zh.wikipedia.org,desktop,all-agents,zh,wikipedia.org
United_Arab_Emirates_en.wikipedia.org_all-access_all-agents,United_Arab_Emirates,United_Arab_Emirates,en.wikipedia.org,all-access,all-agents,en,wikipedia.org
Romanticismo_es.wikipedia.org_desktop_all-agents,Romanticismo,Romanticismo,es.wikipedia.org,desktop,all-agents,es,wikipedia.org
Auferstehung_Jesu_Christi_de.wikipedia.org_all-access_all-agents,Auferstehung_Jesu_Christi,Auferstehung_Jesu_Christi,de.wikipedia.org,all-access,all-agents,de,wikipedia.org
歴代大河ドラマの一覧_ja.wikipedia.org_desktop_all-agents,歴代大河ドラマの一覧,歴代大河ドラマの一覧,ja.wikipedia.org,desktop,all-agents,ja,wikipedia.org
Black_Panther_(comics)_en.wikipedia.org_mobile-web_all-agents,Black_Panther_(comics),Black_Panther_(comics),en.wikipedia.org,mobile-web,all-agents,en,wikipedia.org
永暑島_zh.wikipedia.org_all-access_all-agents,永暑島,永暑島,zh.wikipedia.org,all-access,all-agents,zh,wikipedia.org
Fallschirmjäger_en.wikipedia.org_all-access_spider,Fallschirmjäger,Fallschirmjäger,en.wikipedia.org,all-access,spider,en,wikipedia.org
トヨタ自動車の車種一覧_ja.wikipedia.org_desktop_all-agents,トヨタ自動車の車種一覧,トヨタ自動車の車種一覧,ja.wikipedia.org,desktop,all-agents,ja,wikipedia.org
Sarah_Joelle_Jahnel_de.wikipedia.org_all-access_spider,Sarah_Joelle_Jahnel,Sarah_Joelle_Jahnel,de.wikipedia.org,all-access,spider,de,wikipedia.org
Чемпионат_мира_по_хоккею_с_шайбой_среди_молодёжных_команд_2016_ru.wikipedia.org_desktop_all-agents,Чемпионат_мира_по_хоккею_с_шайбой_среди_молодёжных_команд_2016,Чемпионат_мира_по_хоккею_с_шайбой_среди_молодёжных_команд_2016,ru.wikipedia.org,desktop,all-agents,ru,wikipedia.org
ダ・ヴィンチ・コード_ja.wikipedia.org_mobile-web_all-agents,ダ・ヴィンチ・コード,ダ・ヴィンチ・コード,ja.wikipedia.org,mobile-web,all-agents,ja,wikipedia.org
Präsident_der_Vereinigten_Staaten_de.wikipedia.org_all-access_spider,Präsident_der_Vereinigten_Staaten,Präsident_der_Vereinigten_Staaten,de.wikipedia.org,all-access,spider,de,wikipedia.org
黃騰浩_zh.wikipedia.org_all-access_all-agents,黃騰浩,黃騰浩,zh.wikipedia.org,all-access,all-agents,zh,wikipedia.org
她很漂亮_zh.wikipedia.org_desktop_all-agents,她很漂亮,她很漂亮,zh.wikipedia.org,desktop,all-agents,zh,wikipedia.org
Dmitri_Mendeléyev_es.wikipedia.org_all-access_spider,Dmitri_Mendeléyev,Dmitri_Mendeléyev,es.wikipedia.org,all-access,spider,es,wikipedia.org
Список_стран_по_населению_ru.wikipedia.org_mobile-web_all-agents,Список_стран_по_населению,Список_стран_по_населению,ru.wikipedia.org,mobile-web,all-agents,ru,wikipedia.org
Darth_Vader_es.wikipedia.org_all-access_spider,Darth_Vader,Darth_Vader,es.wikipedia.org,all-access,spider,es,wikipedia.org
Mercure_(planète)_fr.wikipedia.org_desktop_all-agents,Mercure_(planète),Mercure_(planète),fr.wikipedia.org,desktop,all-agents,fr,wikipedia.org
Marie-Anne_Chazel_fr.wikipedia.org_all-access_all-agents,Marie-Anne_Chazel,Marie-Anne_Chazel,fr.wikipedia.org,all-access,all-agents,fr,wikipedia.org
仮面ライダーフォーゼ_ja.wikipedia.org_all-access_spider,仮面ライダーフォーゼ,仮面ライダーフォーゼ,ja.wikipedia.org,all-access,spider,ja,wikipedia.org
Mirja_du_Mont_de.wikipedia.org_mobile-web_all-agents,Mirja_du_Mont,Mirja_du_Mont,de.wikipedia.org,mobile-web,all-agents,de,wikipedia.org
Jimmy_Carter_fr.wikipedia.org_all-access_spider,Jimmy_Carter,Jimmy_Carter,fr.wikipedia.org,all-access,spider,fr,wikipedia.org
Би-2_ru.wikipedia.org_desktop_all-agents,Би-2,Би-2,ru.wikipedia.org,desktop,all-agents,ru,wikipedia.org
Copa_América_Centenario_en.wikipedia.org_desktop_all-agents,Copa_América_Centenario,Copa_América_Centenario,en.wikipedia.org,desktop,all-agents,en,wikipedia.org
トリプルX_ja.wikipedia.org_all-access_all-agents,トリプルX,トリプルX,ja.wikipedia.org,all-access,all-agents,ja,wikipedia.org
Stéphane_Plaza_fr.wikipedia.org_desktop_all-agents,Stéphane_Plaza,Stéphane_Plaza,fr.wikipedia.org,desktop,all-agents,fr,wikipedia.org
1996_Mount_Everest_disaster_en.wikipedia.org_all-access_spider,1996_Mount_Everest_disaster,1996_Mount_Everest_disaster,en.wikipedia.org,all-access,spider,en,wikipedia.org
Sarah_Michelle_Gellar_fr.wikipedia.org_all-access_all-agents,Sarah_Michelle_Gellar,Sarah_Michelle_Gellar,fr.wikipedia.org,all-access,all-agents,fr,wikipedia.org
ゴーストバスターズ2_ja.wikipedia.org_all-access_all-agents,ゴーストバスターズ2,ゴーストバスターズ2,ja.wikipedia.org,all-access,all-agents,ja,wikipedia.org
文化大革命_zh.wikipedia.org_all-access_spider,文化大革命,文化大革命,zh.wikipedia.org,all-access,spider,zh,wikipedia.org
Hipersensibilidad_es.wikipedia.org_desktop_all-agents,Hipersensibilidad,Hipersensibilidad,es.wikipedia.org,desktop,all-agents,es,wikipedia.org
Isabel_I_de_Inglaterra_es.wikipedia.org_desktop_all-agents,Isabel_I_de_Inglaterra,Isabel_I_de_Inglaterra,es.wikipedia.org,desktop,all-agents,es,wikipedia.org
Imperio_bizantino_es.wikipedia.org_desktop_all-agents,Imperio_bizantino,Imperio_bizantino,es.wikipedia.org,desktop,all-agents,es,wikipedia.org
怒火特攻隊_zh.wikipedia.org_mobile-web_all-agents,怒火特攻隊,怒火特攻隊,zh.wikipedia.org,mobile-web,all-agents,zh,wikipedia.org
Категория:Волопас_(созвездие)_ru.wikipedia.org_all-access_all-agents,Категория:Волопас_(созвездие),Категория:Волопас_(созвездие),ru.wikipedia.org,all-access,all-agents,ru,wikipedia.org
Category:Biology_commons.wikimedia.org_all-access_all-agents,Category:Biology,Category:Biology,commons.wikimedia.org,all-access,all-agents,commons,wikimedia.org
Системная_красная_волчанка_ru.wikipedia.org_desktop_all-agents,Системная_красная_волчанка,Системная_красная_волчанка,ru.wikipedia.org,desktop,all-agents,ru,wikipedia.org
"Максакова,_Мария_Петровна_ru.wikipedia.org_all-access_spider","Максакова,_Мария_Петровна","Максакова,_Мария_Петровна",ru.wikipedia.org,all-access,spider,ru,wikipedia.org
張永成_zh.wikipedia.org_all-access_spider,張永成,張永成,zh.wikipedia.org,all-access,spider,zh,wikipedia.org
Serebro_ru.wikipedia.org_all-access_spider,Serebro,Serebro,ru.wikipedia.org,all-access,spider,ru,wikipedia.org
Elecciones_en_Estados_Unidos_es.wikipedia.org_desktop_all-agents,Elecciones_en_Estados_Unidos,Elecciones_en_Estados_Unidos,es.wikipedia.org,desktop,all-agents,es,wikipedia.org
Benjamin_von_Stuckrad-Barre_de.wikipedia.org_all-access_all-agents,Benjamin_von_Stuckrad-Barre,Benjamin_von_Stuckrad-Barre,de.wikipedia.org,all-access,all-agents,de,wikipedia.org
イアン・ソープ_ja.wikipedia.org_desktop_all-agents,イアン・ソープ,イアン・ソープ,ja.wikipedia.org,desktop,all-agents,ja,wikipedia.org
UEFA_de.wikipedia.org_desktop_all-agents,UEFA,UEFA,de.wikipedia.org,desktop,all-agents,de,wikipedia.org
Billy_Gilman_en.wikipedia.org_mobile-web_all-agents,Billy_Gilman,Billy_Gilman,en.wikipedia.org,mobile-web,all-agents,en,wikipedia.org
Category:Imitated_sexual_acts_commons.wikimedia.org_all-access_all-agents,Category:Imitated_sexual_acts,Category:Imitated_sexual_acts,commons.wikimedia.org,all-access,all-agents,commons,wikimedia.org
Región_andina_(Colombia)_es.wikipedia.org_desktop_all-agents,Región_andina_(Colombia),Región_andina_(Colombia),es.wikipedia.org,desktop,all-agents,es,wikipedia.org
Clathrate_gun_hypothesis_en.wikipedia.org_desktop_all-agents,Clathrate_gun_hypothesis,Clathrate_gun_hypothesis,en.wikipedia.org,desktop,all-agents,en,wikipedia.org
Laurent_de_Médicis_fr.wikipedia.org_mobile-web_all-agents,Laurent_de_Médicis,Laurent_de_Médicis,fr.wikipedia.org,mobile-web,all-agents,fr,wikipedia.org
9_мая_ru.wikipedia.org_all-access_spider,9_мая,9_мая,ru.wikipedia.org,all-access,spider,ru,wikipedia.org
Alycia_Debnam-Carey_fr.wikipedia.org_all-access_all-agents,Alycia_Debnam-Carey,Alycia_Debnam-Carey,fr.wikipedia.org,all-access,all-agents,fr,wikipedia.org
Hieronymus_Bosch_de.wikipedia.org_all-access_spider,Hieronymus_Bosch,Hieronymus_Bosch,de.wikipedia.org,all-access,spider,de,wikipedia.org
Spider-Man_fr.wikipedia.org_mobile-web_all-agents,Spider-Man,Spider-Man,fr.wikipedia.org,mobile-web,all-agents,fr,wikipedia.org
API:Categorymembers_www.mediawiki.org_desktop_all-agents,API:Categorymembers,API:Categorymembers,www.mediawiki.org,desktop,all-agents,www,mediawiki.org
José_de_San_Martín_es.wikipedia.org_all-access_spider,José_de_San_Martín,José_de_San_Martín,es.wikipedia.org,all-access,spider,es,wikipedia.org
高雄捷運_zh.wikipedia.org_mobile-web_all-agents,高雄捷運,高雄捷運,zh.wikipedia.org,mobile-web,all-agents,zh,wikipedia.org
Kaleth_Morales_es.wikipedia.org_all-access_all-agents,Kaleth_Morales,Kaleth_Morales,es.wikipedia.org,all-access,all-agents,es,wikipedia.org
Service_militaire_en_France_fr.wikipedia.org_mobile-web_all-agents,Service_militaire_en_France,Service_militaire_en_France,fr.wikipedia.org,mobile-web,all-agents,fr,wikipedia.org
遠東航空_zh.wikipedia.org_all-access_spider,遠東航空,遠東航空,zh.wikipedia.org,all-access,spider,zh,wikipedia.org
シャープ_ja.wikipedia.org_mobile-web_all-agents,シャープ,シャープ,ja.wikipedia.org,mobile-web,all-agents,ja,wikipedia.org
Special:MyLanguage/Manual:Magic_words_www.mediawiki.org_mobile-web_all-agents,Special:MyLanguage/Manual:Magic_words,Special:MyLanguage/Manual:Magic_words,www.mediawiki.org,mobile-web,all-agents,www,mediawiki.org
Norbert_Lammert_de.wikipedia.org_all-access_all-agents,Norbert_Lammert,Norbert_Lammert,de.wikipedia.org,all-access,all-agents,de,wikipedia.org
Matthew_Perry_en.wikipedia.org_all-access_all-agents,Matthew_Perry,Matthew_Perry,en.wikipedia.org,all-access,all-agents,en,wikipedia.org
劉解憂_zh.wikipedia.org_desktop_all-agents,劉解憂,劉解憂,zh.wikipedia.org,desktop,all-agents,zh,wikipedia.org
Haris_Seferović_de.wikipedia.org_mobile-web_all-agents,Haris_Seferović,Haris_Seferović,de.wikipedia.org,mobile-web,all-agents,de,wikipedia.org
Adding_HTML_to_wiki_pages_www.mediawiki.org_desktop_all-agents,Adding_HTML_to_wiki_pages,Adding_HTML_to_wiki_pages,www.mediawiki.org,desktop,all-agents,www,mediawiki.org
Manual:$wgDefaultSkin_www.mediawiki.org_desktop_all-agents,Manual:$wgDefaultSkin,Manual:$wgDefaultSkin,www.mediawiki.org,desktop,all-agents,www,mediawiki.org
黃仲裕_zh.wikipedia.org_mobile-web_all-agents,黃仲裕,黃仲裕,zh.wikipedia.org,mobile-web,all-agents,zh,wikipedia.org
Julia_Roberts_fr.wikipedia.org_all-access_all-agents,Julia_Roberts,Julia_Roberts,fr.wikipedia.org,all-access,all-agents,fr,wikipedia.org
Cuzco_es.wikipedia.org_desktop_all-agents,Cuzco,Cuzco,es.wikipedia.org,desktop,all-agents,es,wikipedia.org
前田利益_ja.wikipedia.org_mobile-web_all-agents,前田利益,前田利益,ja.wikipedia.org,mobile-web,all-agents,ja,wikipedia.org
Black_(Musiker)_de.wikipedia.org_all-access_spider,Black_(Musiker),Black_(Musiker),de.wikipedia.org,all-access,spider,de,wikipedia.org
Help:Categories/scn_www.mediawiki.org_all-access_spider,Help:Categories/scn,Help:Categories/scn,www.mediawiki.org,all-access,spider,www,mediawiki.org
Alan_Turing_fr.wikipedia.org_desktop_all-agents,Alan_Turing,Alan_Turing,fr.wikipedia.org,desktop,all-agents,fr,wikipedia.org
Wie_ein_einziger_Tag_de.wikipedia.org_mobile-web_all-agents,Wie_ein_einziger_Tag,Wie_ein_einziger_Tag,de.wikipedia.org,mobile-web,all-agents,de,wikipedia.org
